// All values are from https://www.avoindata.fi/data/fi/dataset/none "Sukunimitilasto 2018-03-05"
Forsberg, 1_082
Rosenberg, 1_082
Åkerlund, 1_081
Vornanen, 1_077
Söderström, 1_074
Forss, 1_072
Pollari, 1_069
Katainen, 1_067
Vilén, 1_067
Bäckman, 1_064
Mäkipää, 1_061
Heikura, 1_059
Knuutila, 1_059
Lundström, 1_059
Metso, 1_059
Hirvelä, 1_057
Ijäs, 1_057
Markkula, 1_057
Lempiäinen, 1_056
Tissari, 1_056
Hietamäki, 1_054
Tiitinen, 1_054
Korkiakoski, 1_053
Aronen, 1_052
Arvola, 1_048
Kaasinen, 1_041
Vikström, 1_039
Kela, 1_038
Kemppinen, 1_035
Tölli, 1_032
Härmä, 1_030
Kapanen, 1_029
Puurunen, 1_029
Pärssinen, 1_029
Weckström, 1_028
Ahmed, 1_026
Korpinen, 1_026
Olli, 1_026
Österberg, 1_026
Uutela, 1_022
Sorvari, 1_021
Hedman, 1_019
Yrjölä, 1_019
Juutinen, 1_018
Saloranta, 1_018
Malm, 1_017
Kallinen, 1_015
Palm, 1_013
Similä, 1_013
Surakka, 1_010
Björkman, 1_007
Järveläinen, 1_005
Uimonen, 1_004
Hujanen, 1_003
Luukkanen, 1_003
Suorsa, 1_002
Nilsson, 1_000
Rajaniemi, 1_000
Rusanen, 1_000
Tuukkanen, 1_000
Haarala, 999
Roivainen, 999
Ekström, 997
Teittinen, 996
Porkka, 995
Strömberg, 992
Lång, 990
Katajisto, 989
Pulliainen, 988
Nummi, 985
Toikkanen, 985
Purhonen, 984
Höglund, 983
Peltokangas, 982
Sirkiä, 982
Myllykoski, 980
Syrjä, 979
Björk, 975
Rannikko, 975
Salomäki, 974
Ilvonen, 973
Siira, 968
Loponen, 967
Kajander, 965
Könönen, 963
Virkki, 963
Kuvaja, 961
Ikävalko, 960
Laitala, 959
Rahkola, 959
Törmä, 958
Österlund, 958
Kasurinen, 957
Hildén, 956
Nokelainen, 955
Rönkä, 955
Suonpää, 955
Ylikoski, 955
Henttonen, 953
Niva, 953
Kurkela, 952
Viljamaa, 951
Palviainen, 948
Mönkkönen, 947
Nummelin, 947
Enqvist, 946
Nordberg, 946
Kaasalainen, 945
Pusa, 943
Stenman, 942
Backlund, 939
Lindblom, 938
Karppanen, 937
