// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Olav, 102
Riku-Petteri, 101
Keimo, 101
Jaako, 101
Toomas, 100
Jerker, 100
Carl-Erik, 100
Dylan, 100
Vili-Valtteri, 99
Emir, 99
Aale, 99
Deniz, 99
Emilio, 99
Jan-Olof, 98
Remi, 98
Valtter, 98
Eki, 98
Jeremi, 98
Miguel, 98
Stanislav, 98
Jouka, 97
Asseri, 97
Jan-Henrik, 97
Kenny, 97
Carlo, 96
Pehr, 96
Ari-Jukka, 96
Emre, 96
Finn, 96
Tuisku, 96
Adnan, 95
Kosmo, 95
Chris, 95
Semi, 94
Eemu, 94
Eero-Pekka, 94
Mario, 93
Yasin, 93
Bilal, 93
Aleks, 93
Kristofer, 93
Ethan, 93
Sakarias, 93
Claus, 92
Sameli, 92
Pedro, 92
Rurik, 92
Jussa, 91
Pepe, 91
Urmas, 91
Nestor, 91
Aki-Petteri, 91
Vitali, 91
Joni-Petteri, 90
Jani-Matti, 90
Selim, 89
Mikki, 89
Ray, 89
Niku, 88
Steven, 88
Brian, 88
Joni-Pekka, 88
Dante, 87
Emppu, 87
Uno, 87
Leonid, 87
Wili, 86
Ronald, 86
Evan, 86
Hans-Erik, 86
Fjalar, 86
Ano, 85
Joska, 85
Timur, 85
Antti-Juhani, 85
Jerri, 85
Ricardo, 84
Matteo, 84
Dag, 84
Marlo, 84
Nick, 83
Ilyas, 83
Elton, 83
Marek, 83
Eliot, 83
Jan-Kristian, 83
Lemmy, 83
Jamal, 82
Veetu, 82
Emmanuel, 82
Alarik, 82
Herbert, 82
Juuse, 82
José, 82
Joacim, 82
Stephen, 81
Ante, 81
Taimo, 81
Jooel, 81
Nuuti, 80
Michel, 80
Mika-Petteri, 80
Veli-Jussi, 80
Matthias, 80
Tito, 79
Totte, 79
Jan-Eric, 79
Nicky, 79
Huuko, 79
Wilho, 78
Alessandro, 78
Carl-Gustav, 78
Miikael, 78
Jonah, 78
Diego, 78
Sven-Olof, 78
Rayan, 78
Abdulkadir, 78
Antti-Ville, 77
Arman, 77
Mika-Petri, 77
Ralph, 77
Kian, 77
Lionel, 77
Jyri-Pekka, 77
Vieno, 76
Oliwer, 76
Otto-Ville, 76
Renny, 76
Melker, 76
Ekku, 75
Olli-Petteri, 75
Kaspar, 75
Ilppo, 75
Maximus, 75
Timmy, 75
Abel, 74
Caspian, 74
Tahvo, 74
Juho-Antti, 74
Hasse, 74
Muhamed, 74
Tarvo, 74
Aito, 73
Reetu, 73
Rudi, 73
Raymond, 73
Reeti, 73
Karl-Gustav, 73
Pieti, 73
Caius, 73
Isaac, 73
Malte, 72
Jan-Markus, 72
Mika-Matti, 72
Riko, 72
Jamie, 72
Dominik, 72
Jokke, 72
Mohamad, 72
Teodor, 72
Louis, 71
Eugen, 71
Marlon, 71
Jona, 71
Hamid, 71
Bert, 70
Armo, 70
Morgan, 70
Mohamud, 70
Hilding, 70
Miikkael, 70
Ilya, 70
Jamiel, 70
Quoc, 70
Tero-Pekka, 70
Ruuben, 70
Jirko, 70
Mehdi, 70
Md, 70
Stephan, 69
Lenne, 69
Arnold, 69
Justin, 69
Harri-Pekka, 69
Calle, 69
Jukka-Matti, 69
Alexandros, 69
Pablo, 69
Riku-Matti, 69
Nelson, 68
Ere, 68
Risto-Pekka, 68
Juho-Petteri, 68
Josua, 68
Helmeri, 68
Eskil, 68
Hjalmar, 67
Tomi-Pekka, 67
Junnu, 67
Juhapekka, 67
Janne-Petteri, 67
Nikolaos, 67
Mahdi, 67
Ahmet, 67
Mahad, 67
Moritz, 67
Arian, 66
Murat, 66
Jony, 66
Viking, 66
Julle, 66
Youssef, 66
Franz, 66
Jussi-Matti, 66
Kenth, 66
Carl-Henrik, 65
Mika-Pekka, 65
Launo, 65
Abbas, 65
Carl-Gustaf, 65
Jan-Anders, 65
Duc, 64
Matvei, 64
Steve, 64
Andy, 64
Robi, 64
Aram, 64
Ollipekka, 64
Veli-Jukka, 64
Yahya, 64
Elof, 64
Jukka-Petteri, 63
Ingvar, 63
Masa, 63
Lenna, 63
Vili-Petteri, 63
Anthon, 62
Josi, 62
Trygve, 62
Andres, 62
Ludwig, 62
Elvin, 62
Jordan, 62
Vilmer, 62
Nabil, 61
Andrea, 61
Konrad, 61
Serguei, 61
Valio, 61
Georgios, 61
Pauno, 61
Cay, 61
Musa, 61
Malik, 60
Kiril, 60
Timo-Jaakko, 60
Ariel, 60
Lalli, 60
Sander, 60
Pasi-Pekka, 60
Atle, 60
Jerome, 60
Yahye, 59
Janne-Matti, 59
Tor-Erik, 59
Anh, 59
Ilias, 59
Leonel, 59
Zachary, 59
Sipi, 59
Lennu, 59
Ramin, 58
Reh, 58
Velimatti, 58
Rikard, 58
Vaito, 58
Karl-Henrik, 58
Abdifatah, 58
Mici, 58
Mikko-Petteri, 58
Seemi, 58
Sasha, 58
Kuura, 58
Melwin, 58
Kunto, 58
Velu, 57
Jura, 57
Nikolay, 57
Algot, 57
Yury, 57
Stig-Erik, 57
Salomo, 57
Ale, 57
Scott, 57
Alexandr, 57
Enzo, 57
Joar, 57
Willy, 57
Waltter, 57
Karlos, 57
Cedric, 57
Ville-Oskari, 57
Paolo, 56
Jari-Jukka, 56
Arho, 56
Anto, 56
Robertino, 56
Emanuel, 56
Egil, 56
Lars-Johan, 55
Jooseppi, 55
Kaapro, 55
Johann, 55
Salomon, 55
Veli-Heikki, 55
Mustapha, 55
Nicke, 55
Imran, 55
Ristomatti, 55
Hoang, 55
Mikail, 55
Bernhard, 54
Vilhelmi, 54
Rio, 54
Keni, 54
Ermo, 54
Eirik, 54
Feetu, 54
Raineri, 54
Francisco, 54
Brandon, 54
Runo, 54
Seyed, 54
Jomi, 53
Damian, 53
Winston, 53
Rachid, 53
Khaled, 53
Sigurd, 53
Quang, 53
Karel, 53
Aki-Pekka, 53
Jari-Petteri, 53
Riiko, 53
Ate, 53
Damien, 52
Petr, 52
Syed, 52
