// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Nathalie, 389
Sarianna, 386
Ulpu, 385
Emelie, 379
Roosa-Maria, 378
Silvia, 376
Jelena, 375
Jeanette, 375
Gun-Britt, 375
Bettina, 374
Liinu, 374
Fiia, 373
Caroline, 371
Annemari, 371
Hanna-Maija, 370
Nana, 368
Maj, 368
Jannika, 366
Briitta, 365
Larissa, 362
Svea, 360
Karla, 359
Gretel, 357
Leena-Maija, 356
Aliina, 356
Madeleine, 353
Tiia-Maria, 352
Aina, 352
Kirsi-Maria, 351
Ann-Marie, 349
Pamela, 346
Moa, 346
Linnéa, 343
Nenna, 343
Minna-Liisa, 343
Sophie, 342
Karolina, 341
Anelma, 340
Jarna, 339
Raija-Liisa, 338
Veronika, 338
Amina, 338
Jasmina, 338
Clara, 336
Eedit, 334
Mandi, 334
Elea, 333
Hannah, 330
Annastiina, 330
Rebecka, 329
Mirja-Liisa, 328
Miira, 327
Edit, 327
Pernilla, 324
Viktoria, 323
Amelie, 323
Lenita, 323
Göta, 322
Ann-Christine, 320
Leeni, 320
Sophia, 317
Alicia, 316
Mathilda, 316
Merita, 315
Henrietta, 315
Milana, 315
Gerd, 313
Beata, 313
Maja, 311
Jenniina, 309
Rut, 308
Lidia, 308
Vaula, 307
Mai, 306
Rosita, 306
Kaarin, 304
Louna, 304
Andrea, 304
Erna, 304
Ramona, 303
Maj-Len, 303
Helene, 303
Mariia, 301
Marit, 301
Eeva-Kaisa, 299
Riika, 298
Yasmin, 297
Hulda, 297
Vivi, 295
Mariitta, 294
Rosanna, 293
Iitu, 292
Sanja, 291
Mari-Anne, 291
Beatrice, 291
Lisbet, 288
Sonia, 288
Jessi, 285
Ninja, 282
Salla-Mari, 282
Hilppa, 281
Hanna-Riikka, 281
Samira, 278
Thea, 278
Eeva-Riitta, 278
Ursula, 277
Aisha, 277
Annica, 276
Sade, 276
Kreetta, 276
Eeva-Leena, 275
Miriam, 275
Arja-Liisa, 275
Raita, 275
Carla, 273
Anri, 271
Susa, 271
Kaija-Leena, 269
Bella, 268
Leona, 268
Karina, 263
Mariam, 262
Anna-Riikka, 262
My, 262
Kajsa, 261
Angelica, 261
Maija-Riitta, 259
Britt-Marie, 259
Viveka, 256
Paulina, 256
Margarita, 256
Mariella, 256
Micaela, 256
Nadia, 255
Henrika, 255
Maikki, 254
Marlene, 252
Ann-Christin, 252
Ninna, 251
Jennie, 251
Miila, 251
Fatima, 250
Bianca, 250
Salma, 250
Rosa-Maria, 249
Disa, 249
Anna-Riitta, 248
Arja-Leena, 248
Jenina, 246
Tiiu, 245
Justiina, 243
Else-Maj, 243
Hanni, 242
Susann, 242
Laimi, 241
Nette, 241
Ylva, 241
Edla, 241
Viveca, 240
Freja, 240
Louise, 240
Jadessa, 239
Maini, 238
Josefine, 238
Anna-Lena, 238
Meri-Tuuli, 236
Josefin, 236
Ilma, 236
Hjördis, 235
Lia, 235
Ilta, 233
Suvi-Tuuli, 233
Sirke, 233
Auni, 231
Melisa, 230
Annakaisa, 230
Sirpa-Liisa, 229
Eeva-Kaarina, 228
Marke, 228
Anna-Kaarina, 228
Hanna-Liisa, 228
Riitta-Leena, 228
Sanelma, 227
Eva-Maria, 227
Marleena, 227
Dina, 227
Emilie, 227
Naomi, 227
Evi, 226
Klara, 226
Seidi, 225
Auri, 225
Lilly, 225
Arla, 224
Aino-Maija, 224
Anna-Lisa, 223
Britt, 223
Jannica, 221
Ulla-Riitta, 221
Kaija-Liisa, 221
Minna-Maria, 221
Merja-Liisa, 219
Telma, 219
Isabelle, 218
Sanna-Maija, 218
Sannamari, 217
Adelina, 216
Catharina, 216
Sigrid, 215
Ruusa, 215
Angelina, 215
Aino-Maria, 215
Sarianne, 215
Klaara, 214
Eliina, 214
Zahra, 214
Leni, 214
Juliana, 213
Pieta, 213
Katrina, 213
Etel, 212
Nancy, 211
Cassandra, 210
Emmiina, 209
Sabrina, 209
Elmi, 209
Pia-Maria, 209
Amira, 209
Jennika, 209
Solja, 208
Tilde, 208
Ann-Sofie, 207
Margita, 207
Noona, 207
Tinka, 207
Heidi-Maria, 207
Päivikki, 205
Janet, 205
Liia, 204
Sanna-Leena, 203
Kukka, 203
Wilhelmiina, 203
May, 202
Ksenia, 202
Sissi, 201
Maia, 201
Gabriella, 200
Lovisa, 200
Elli-Noora, 199
Usva, 198
Kukka-Maaria, 198
Tia-Maria, 198
Minna-Mari, 198
Marissa, 197
Synnöve, 197
Eija-Riitta, 196
Larisa, 196
Daria, 196
Molly, 196
Piitu, 195
Nadezda, 195
Bodil, 195
Maryam, 195
Rianna, 194
Anne-Maija, 194
Catarina, 193
Angela, 193
Sienna, 193
Gurli, 192
Valeria, 192
Annie, 191
Ann-Britt, 191
Sallamari, 191
Gunhild, 190
Reea, 190
Ellinor, 188
Alla, 187
Vivan, 186
Satu-Maarit, 186
Carmen, 186
Filippa, 186
Liudmila, 186
Elizabeth, 185
Marica, 184
Sally, 184
Magdalena, 184
Jana, 184
Mariel, 182
Adalmiina, 181
Kiti, 181
Peppiina, 181
Sina, 180
Emmy, 180
Jasmi, 179
Riitta-Maija, 179
Tekla, 179
Antonia, 179
Ani, 178
Kamilla, 177
Eleonora, 177
Ann-Sofi, 177
Kaisa-Leena, 176
Annele, 175
Lotte, 174
Kreeta, 174
Gertrud, 174
Juliaana, 173
Anne-Marja, 173
Fia, 173
Suvi-Tuulia, 172
Ingegerd, 172
Ethel, 171
Inga-Lill, 171
Cindy, 171
Annamaija, 170
Katrin, 170
Ruusu, 170
Ella-Maria, 169
Venny, 169
Lyyti, 168
Minerva, 168
Celina, 167
Amy, 167
Tiina-Liisa, 167
Kirsikka, 167
Tarja-Leena, 167
Ljudmila, 166
Evita, 166
Tanya, 166
Adessa, 165
Denise, 165
Dagny, 164
Ingeborg, 163
Gudrun, 163
Meimi, 162
Gunborg, 160
Marta, 159
Helle, 159
Polina, 158
Mimi, 158
